iata,icao,state
\N,FAHV,Johannesburg
JNB,FAOR,Johannesburg
KXE,FAKD,Johannesburg
KIM,FAKM,Johannesburg
\N,FAKR,Johannesburg
\N,FAKS,Johannesburg
KMH,FAKU,Johannesburg
KLZ,FAKZ,Johannesburg
HLA,FALA,Johannesburg
\N,FALI,Johannesburg
\N,FALM,Johannesburg
SDB,FALW,Johannesburg
LAY,FALY,Johannesburg
\N,FAMB,Johannesburg
MGH,FAMG,Johannesburg
\N,FAMI,Johannesburg
\N,FAMJ,Johannesburg
LLE,FAMN,Johannesburg
\N,FAMS,Johannesburg
MZQ,FAMU,Johannesburg
NCS,FANC,Johannesburg
\N,FANY,Johannesburg
OVG,FAOB,Johannesburg
OUH,FAOH,Johannesburg
PLZ,FAPE,Johannesburg
PBZ,FAPG,Johannesburg
PHW,FAPH,Johannesburg
\N,FAPI,Johannesburg
JOH,FAPJ,Johannesburg
PZB,FAPM,Johannesburg
NTY,FAPN,Johannesburg
PTG,FAPP,Johannesburg
PCF,FAPS,Johannesburg
\N,FAPY,Johannesburg
UTW,FAQT,Johannesburg
RCB,FARB,Johannesburg
\N,FARG,Johannesburg
ROD,FARS,Johannesburg
SBU,FASB,Johannesburg
ZEC,FASC,Johannesburg
\N,FASD,Johannesburg
\N,FASI,Johannesburg
\N,FASK,Johannesburg
SIS,FASS,Johannesburg
\N,FASX,Johannesburg
SZK,FASZ,Johannesburg
\N,FATF,Johannesburg
\N,FATP,Johannesburg
\N,FATT,Johannesburg
LTA,FATZ,Johannesburg
ULD,FAUL,Johannesburg
UTN,FAUP,Johannesburg
UTT,FAUT,Johannesburg
VRU,FAVB,Johannesburg
VIR,FAVG,Johannesburg
VRE,FAVR,Johannesburg
\N,FAVV,Johannesburg
PRY,FAWB,Johannesburg
\N,FAWI,Johannesburg
WKF,FAWK,Johannesburg
\N,FAWM,Johannesburg
\N,FAYP,Johannesburg
\N,FAZR,Johannesburg
FRW,FBFT,Gaborone
JWA,FBJW,Gaborone
BBK,FBKE,Gaborone
MUB,FBMN,Gaborone
GBE,FBSK,Gaborone
PKW,FBSP,Gaborone
BZV,FCBB,Brazzaville
FTX,FCOO,Brazzaville
OUE,FCOU,Brazzaville
PNR,FCPP,Brazzaville
MTS,FDMS,Mbabane
BGF,FEFF,Bangui
BBT,FEFT,Bangui
BSG,FGBT,Malabo
SSG,FGSL,Malabo
ASI,FHAW,St_Helena
MRU,FIMP,Mauritius
RRG,FIMR,Mauritius
NKW,FJDG,Chagos
TKC,FKKC,Douala
DLA,FKKD,Douala
MVR,FKKL,Douala
FOM,FKKM,Douala
NGE,FKKN,Douala
GOU,FKKR,Douala
BFX,FKKU,Douala
BPC,FKKV,Douala
YAO,FKKY,Douala
CGJ,FLKE,Lusaka
LVI,FLLI,Lusaka
LUN,FLLS,Lusaka
MFU,FLMF,Lusaka
MNR,FLMG,Lusaka
NLA,FLND,Lusaka
KIW,FLSO,Lusaka
HAH,FMCH,Comoro
NWA,FMCI,Comoro
AJN,FMCV,Comoro
DZA,FMCZ,Mayotte
RUN,FMEE,Reunion
ZSE,FMEP,Reunion
TNR,FMMI,Antananarivo
ZVA,FMMN,Antananarivo
SMS,FMMS,Antananarivo
TMM,FMMT,Antananarivo
MOQ,FMMV,Antananarivo
DIE,FMNA,Antananarivo
WMR,FMNC,Antananarivo
ZWA,FMND,Antananarivo
AMB,FMNE,Antananarivo
ANM,FMNH,Antananarivo
HVA,FMNL,Antananarivo
MJN,FMNM,Antananarivo
NOS,FMNN,Antananarivo
BPY,FMNQ,Antananarivo
WMN,FMNR,Antananarivo
SVB,FMNS,Antananarivo
VOH,FMNV,Antananarivo
WAI,FMNW,Antananarivo
IVA,FMNZ,Antananarivo
FTU,FMSD,Antananarivo
WFI,FMSF,Antananarivo
RVA,FMSG,Antananarivo
WVK,FMSK,Antananarivo
MNJ,FMSM,Antananarivo
MXM,FMSR,Antananarivo
TLE,FMST,Antananarivo
SSY,FNBC,Luanda
BUG,FNBG,Luanda
CAB,FNCA,Luanda
NOV,FNHU,Luanda
SVP,FNKU,Luanda
\N,FNLB,Luanda
LAD,FNLU,Luanda
MEG,FNMA,Luanda
SPP,FNME,Luanda
GXG,FNNG,Luanda
PBN,FNPA,Luanda
VHC,FNSA,Luanda
SZA,FNSO,Luanda
SDD,FNUB,Luanda
LUO,FNUE,Luanda
UGO,FNUG,Luanda
XGN,FNXA,Luanda
OYE,FOGO,Libreville
OKN,FOGQ,Libreville
LBQ,FOGR,Libreville
BMM,FOOB,Libreville
POG,FOOG,Libreville
OMB,FOOH,Libreville
MKU,FOOK,Libreville
LBV,FOOL,Libreville
MVB,FOON,Libreville
PCP,FPPR,Sao_Tome
TMS,FPST,Sao_Tome
BEW,FQBR,Maputo
INH,FQIN,Maputo
VXC,FQLC,Maputo
LFB,FQLU,Maputo
